Indicator,Country,Date,value
Cumulative number of confirmed Ebola cases,Senegal,2015July,1
Cumulative number of probable Ebola cases,Senegal,2015July,0
Cumulative number of suspected Ebola cases,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015July,1
Cumulative number of confirmed Ebola cases,Spain,2015July,1
Cumulative number of probable Ebola cases,Spain,2015July,0
Cumulative number of suspected Ebola cases,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015July,1
Cumulative number of confirmed Ebola cases,United States of America,2015July,4
Cumulative number of probable Ebola cases,United States of America,2015July,0
Cumulative number of suspected Ebola cases,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015July,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015July,7
Cumulative number of probable Ebola deaths,Nigeria,2015July,1
Cumulative number of suspected Ebola deaths,Nigeria,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015July,8
Cumulative number of confirmed Ebola deaths,Senegal,2015July,0
Cumulative number of probable Ebola deaths,Senegal,2015July,0
Cumulative number of suspected Ebola deaths,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015July,0
Cumulative number of confirmed Ebola deaths,Spain,2015July,0
Cumulative number of probable Ebola deaths,Spain,2015July,0
Cumulative number of suspected Ebola deaths,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015July,0
Cumulative number of confirmed Ebola deaths,United States of America,2015July,1
Cumulative number of probable Ebola deaths,United States of America,2015July,0
Cumulative number of suspected Ebola deaths,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015July,4806
Cumulative number of confirmed Ebola cases,Guinea,2015July,3287
Cumulative number of probable Ebola cases,Liberia,2015July,1879
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015July,3940
Cumulative number of probable Ebola cases,Sierra Leone,2015July,287
Cumulative number of suspected Ebola cases,Guinea,2015July,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015July,2499
Cumulative number of suspected Ebola cases,Sierra Leone,2015July,4194
Cumulative number of probable Ebola cases,Guinea,2015July,450
Cumulative number of suspected Ebola cases,Liberia,2015July,5636
Cumulative number of confirmed Ebola cases,Liberia,2015July,3151
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015July,3574
Cumulative number of probable Ebola deaths,Sierra Leone,2015July,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015July,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015July,3748
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015July,13155
Cumulative number of confirmed Ebola deaths,Guinea,2015July,2049
Cumulative number of confirmed Ebola cases,Sierra Leone,2015July,8674
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015July,10666
Cumulative number of probable Ebola deaths,Guinea,2015July,450
Cumulative number of confirmed Ebola deaths,Liberia 2,2015July,1
Cumulative number of probable Ebola cases,Liberia 2,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015July,4
Cumulative number of confirmed Ebola cases,Liberia 2,2015July,3
Cumulative number of confirmed Ebola cases,Italy,2015July,1
Cumulative number of probable Ebola cases,Italy,2015July,0
Cumulative number of suspected Ebola cases,Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015July,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015July,1
Cumulative number of probable Ebola cases,United Kingdom,2015July,0
Cumulative number of suspected Ebola cases,United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015July,1
Cumulative number of confirmed Ebola cases,Mali,2015July,7
Cumulative number of probable Ebola cases,Mali,2015July,1
Cumulative number of suspected Ebola cases,Mali,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015July,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015July,8
Cumulative number of confirmed Ebola cases,Nigeria,2015July,19
Cumulative number of probable Ebola cases,Nigeria,2015July,1
Cumulative number of suspected Ebola cases,Nigeria,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015July,20
Cumulative number of confirmed Ebola cases,Senegal,2015July,1
Cumulative number of probable Ebola cases,Senegal,2015July,0
Cumulative number of suspected Ebola cases,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015July,1
Cumulative number of confirmed Ebola cases,Spain,2015July,1
Cumulative number of probable Ebola cases,Spain,2015July,0
Cumulative number of suspected Ebola cases,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015July,1
Cumulative number of confirmed Ebola cases,United States of America,2015July,4
Cumulative number of probable Ebola cases,United States of America,2015July,0
Cumulative number of suspected Ebola cases,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015July,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015July,7
Cumulative number of probable Ebola deaths,Nigeria,2015July,1
Cumulative number of suspected Ebola deaths,Nigeria,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015July,8
Cumulative number of confirmed Ebola deaths,Senegal,2015July,0
Cumulative number of probable Ebola deaths,Senegal,2015July,0
Cumulative number of suspected Ebola deaths,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015July,0
Cumulative number of confirmed Ebola deaths,Spain,2015July,0
Cumulative number of probable Ebola deaths,Spain,2015July,0
Cumulative number of suspected Ebola deaths,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015July,0
Cumulative number of confirmed Ebola deaths,United States of America,2015July,1
Cumulative number of probable Ebola deaths,United States of America,2015July,0
Cumulative number of suspected Ebola deaths,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015July,10666
Cumulative number of suspected Ebola cases,Sierra Leone,2015July,4194
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015July,3940
Number of confirmed Ebola cases in the last 21 days,Guinea,2015July,42
Cumulative number of probable Ebola cases,Liberia,2015July,1879
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2015July,25
Cumulative number of confirmed Ebola cases,Liberia,2015July,3151
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015July,42
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015July,13155
Cumulative number of suspected Ebola cases,Liberia,2015July,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015July,4806
Cumulative number of suspected Ebola deaths,Sierra Leone,2015July,158
Cumulative number of probable Ebola cases,Guinea,2015July,450
Cumulative number of confirmed Ebola cases,Sierra Leone,2015July,8674
Cumulative number of suspected Ebola cases,Guinea,2015July,11
Cumulative number of confirmed Ebola cases,Guinea,2015July,3287
Cumulative number of probable Ebola cases,Sierra Leone,2015July,287
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015July,3748
Cumulative number of probable Ebola deaths,Guinea,2015July,450
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015July,3574
Cumulative number of probable Ebola deaths,Sierra Leone,2015July,208
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015July,2499
Cumulative number of confirmed Ebola deaths,Guinea,2015July,2049
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2015July,25
Cumulative number of confirmed Ebola cases,Liberia 2,2015July,3
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia 2,2015July,4
Number of probable Ebola cases in the last 21 days,Liberia 2,2015July,1
Cumulative number of confirmed Ebola deaths,Liberia 2,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015July,4
Cumulative number of probable Ebola cases,Liberia 2,2015July,1
Number of confirmed Ebola cases in the last 21 days,Liberia 2,2015July,3
Cumulative number of confirmed Ebola cases,Italy,2015July,1
Cumulative number of probable Ebola cases,Italy,2015July,0
Cumulative number of suspected Ebola cases,Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015July,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015July,1
Cumulative number of probable Ebola cases,United Kingdom,2015July,0
Cumulative number of suspected Ebola cases,United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015July,1
Cumulative number of confirmed Ebola cases,Mali,2015July,7
Cumulative number of probable Ebola cases,Mali,2015July,1
Cumulative number of suspected Ebola cases,Mali,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015July,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015July,8
Cumulative number of confirmed Ebola cases,Nigeria,2015July,19
Cumulative number of probable Ebola cases,Nigeria,2015July,1
Cumulative number of suspected Ebola cases,Nigeria,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015July,20
Cumulative number of confirmed Ebola cases,Senegal,2015July,1
Cumulative number of probable Ebola cases,Senegal,2015July,0
Cumulative number of suspected Ebola cases,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015July,1
Cumulative number of confirmed Ebola cases,Spain,2015July,1
Cumulative number of probable Ebola cases,Spain,2015July,0
Cumulative number of suspected Ebola cases,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015July,1
Cumulative number of confirmed Ebola cases,United States of America,2015July,4
Cumulative number of probable Ebola cases,United States of America,2015July,0
Cumulative number of suspected Ebola cases,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015July,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015July,7
Cumulative number of probable Ebola deaths,Nigeria,2015July,1
Cumulative number of suspected Ebola deaths,Nigeria,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015July,8
Cumulative number of confirmed Ebola deaths,Senegal,2015July,0
Cumulative number of probable Ebola deaths,Senegal,2015July,0
Cumulative number of suspected Ebola deaths,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015July,0
Cumulative number of confirmed Ebola deaths,Spain,2015July,0
Cumulative number of probable Ebola deaths,Spain,2015July,0
Cumulative number of suspected Ebola deaths,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015July,0
Cumulative number of confirmed Ebola deaths,United States of America,2015July,1
Cumulative number of probable Ebola deaths,United States of America,2015July,0
Cumulative number of suspected Ebola deaths,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015July,3744
Cumulative number of confirmed Ebola cases,Guinea,2015July,3290
Cumulative number of probable Ebola cases,Guinea,2015July,450
Cumulative number of suspected Ebola cases,Guinea,2015July,4
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015July,2505
Cumulative number of confirmed Ebola deaths,Guinea,2015July,2055
Cumulative number of probable Ebola deaths,Guinea,2015July,450
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015July,10666
Cumulative number of confirmed Ebola cases,Liberia,2015July,3151
Cumulative number of probable Ebola cases,Liberia,2015July,1879
Cumulative number of suspected Ebola cases,Liberia,2015July,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015July,4806
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015July,13169
Cumulative number of confirmed Ebola cases,Sierra Leone,2015July,8675
Cumulative number of probable Ebola cases,Sierra Leone,2015July,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015July,4207
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015July,3941
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015July,3575
Cumulative number of probable Ebola deaths,Sierra Leone,2015July,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015July,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015July,6
Cumulative number of confirmed Ebola cases,Liberia 2,2015July,5
Cumulative number of probable Ebola cases,Liberia 2,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015July,1
Cumulative number of confirmed Ebola deaths,Liberia 2,2015July,1
Cumulative number of confirmed Ebola cases,Italy,2015July,1
Cumulative number of probable Ebola cases,Italy,2015July,0
Cumulative number of suspected Ebola cases,Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015July,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015July,1
Cumulative number of probable Ebola cases,United Kingdom,2015July,0
Cumulative number of suspected Ebola cases,United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015July,1
Cumulative number of confirmed Ebola cases,Mali,2015July,7
Cumulative number of probable Ebola cases,Mali,2015July,1
Cumulative number of suspected Ebola cases,Mali,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015July,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015July,8
Cumulative number of confirmed Ebola cases,Nigeria,2015July,19
Cumulative number of probable Ebola cases,Nigeria,2015July,1
Cumulative number of suspected Ebola cases,Nigeria,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015July,20
Cumulative number of confirmed Ebola cases,Senegal,2015July,1
Cumulative number of probable Ebola cases,Senegal,2015July,0
Cumulative number of suspected Ebola cases,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015July,1
Cumulative number of confirmed Ebola cases,Spain,2015July,1
Cumulative number of probable Ebola cases,Spain,2015July,0
Cumulative number of suspected Ebola cases,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015July,1
Cumulative number of confirmed Ebola cases,United States of America,2015July,4
Cumulative number of probable Ebola cases,United States of America,2015July,0
Cumulative number of suspected Ebola cases,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015July,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015July,7
Cumulative number of probable Ebola deaths,Nigeria,2015July,1
Cumulative number of suspected Ebola deaths,Nigeria,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015July,8
Cumulative number of confirmed Ebola deaths,Senegal,2015July,0
Cumulative number of probable Ebola deaths,Senegal,2015July,0
Cumulative number of suspected Ebola deaths,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015July,0
Cumulative number of confirmed Ebola deaths,Spain,2015July,0
Cumulative number of probable Ebola deaths,Spain,2015July,0
Cumulative number of suspected Ebola deaths,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015July,0
Cumulative number of confirmed Ebola deaths,United States of America,2015July,1
Cumulative number of probable Ebola deaths,United States of America,2015July,0
Cumulative number of suspected Ebola deaths,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015July,3751
Cumulative number of confirmed Ebola cases,Guinea,2015July,3293
Cumulative number of probable Ebola cases,Guinea,2015July,450
Cumulative number of suspected Ebola cases,Guinea,2015July,8
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015July,2505
Cumulative number of confirmed Ebola deaths,Guinea,2015July,2055
Cumulative number of probable Ebola deaths,Guinea,2015July,450
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015July,10666
Cumulative number of confirmed Ebola cases,Liberia,2015July,3151
Cumulative number of probable Ebola cases,Liberia,2015July,1879
Cumulative number of suspected Ebola cases,Liberia,2015July,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015July,4806
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015July,13177
Cumulative number of confirmed Ebola cases,Sierra Leone,2015July,8676
Cumulative number of probable Ebola cases,Sierra Leone,2015July,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015July,4214
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015July,3941
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015July,3575
Cumulative number of probable Ebola deaths,Sierra Leone,2015July,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015July,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015July,6
Cumulative number of confirmed Ebola cases,Liberia 2,2015July,5
Cumulative number of probable Ebola cases,Liberia 2,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015July,1
Cumulative number of confirmed Ebola deaths,Liberia 2,2015July,1
Cumulative number of confirmed Ebola cases,Italy,2015July,1
Cumulative number of probable Ebola cases,Italy,2015July,0
Cumulative number of suspected Ebola cases,Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015July,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015July,1
Cumulative number of probable Ebola cases,United Kingdom,2015July,0
Cumulative number of suspected Ebola cases,United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015July,1
Cumulative number of confirmed Ebola cases,Mali,2015July,7
Cumulative number of probable Ebola cases,Mali,2015July,1
Cumulative number of suspected Ebola cases,Mali,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015July,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015July,8
Cumulative number of confirmed Ebola cases,Nigeria,2015July,19
Cumulative number of probable Ebola cases,Nigeria,2015July,1
Cumulative number of suspected Ebola cases,Nigeria,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015July,20
Cumulative number of confirmed Ebola cases,Senegal,2015July,1
Cumulative number of probable Ebola cases,Senegal,2015July,0
Cumulative number of suspected Ebola cases,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015July,1
Cumulative number of confirmed Ebola cases,Spain,2015July,1
Cumulative number of probable Ebola cases,Spain,2015July,0
Cumulative number of suspected Ebola cases,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015July,1
Cumulative number of confirmed Ebola cases,United States of America,2015July,4
Cumulative number of probable Ebola cases,United States of America,2015July,0
Cumulative number of suspected Ebola cases,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015July,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015July,7
Cumulative number of probable Ebola deaths,Nigeria,2015July,1
Cumulative number of suspected Ebola deaths,Nigeria,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015July,8
Cumulative number of confirmed Ebola deaths,Senegal,2015July,0
Cumulative number of probable Ebola deaths,Senegal,2015July,0
Cumulative number of suspected Ebola deaths,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015July,0
Cumulative number of confirmed Ebola deaths,Spain,2015July,0
Cumulative number of probable Ebola deaths,Spain,2015July,0
Cumulative number of suspected Ebola deaths,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015July,0
Cumulative number of confirmed Ebola deaths,United States of America,2015July,1
Cumulative number of probable Ebola deaths,United States of America,2015July,0
Cumulative number of suspected Ebola deaths,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015July,3754
Cumulative number of confirmed Ebola cases,Guinea,2015July,3299
Cumulative number of probable Ebola cases,Guinea,2015July,450
Cumulative number of suspected Ebola cases,Guinea,2015July,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015July,2506
Cumulative number of confirmed Ebola deaths,Guinea,2015July,2056
Cumulative number of probable Ebola deaths,Guinea,2015July,450
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015July,10666
Cumulative number of confirmed Ebola cases,Liberia,2015July,3151
Cumulative number of probable Ebola cases,Liberia,2015July,1879
Cumulative number of suspected Ebola cases,Liberia,2015July,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015July,4806
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015July,13201
Cumulative number of confirmed Ebola cases,Sierra Leone,2015July,8687
Cumulative number of probable Ebola cases,Sierra Leone,2015July,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015July,4227
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015July,3946
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015July,3580
Cumulative number of probable Ebola deaths,Sierra Leone,2015July,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015July,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015July,6
Cumulative number of confirmed Ebola cases,Liberia 2,2015July,5
Cumulative number of probable Ebola cases,Liberia 2,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015July,1
Cumulative number of confirmed Ebola deaths,Liberia 2,2015July,1
Cumulative number of confirmed Ebola cases,Italy,2015July,1
Cumulative number of probable Ebola cases,Italy,2015July,0
Cumulative number of suspected Ebola cases,Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015July,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015July,1
Cumulative number of probable Ebola cases,United Kingdom,2015July,0
Cumulative number of suspected Ebola cases,United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015July,1
Cumulative number of confirmed Ebola cases,Mali,2015July,7
Cumulative number of probable Ebola cases,Mali,2015July,1
Cumulative number of suspected Ebola cases,Mali,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015July,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015July,8
Cumulative number of confirmed Ebola cases,Nigeria,2015July,19
Cumulative number of probable Ebola cases,Nigeria,2015July,1
Cumulative number of suspected Ebola cases,Nigeria,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015July,20
Cumulative number of confirmed Ebola cases,Senegal,2015July,1
Cumulative number of probable Ebola cases,Senegal,2015July,0
Cumulative number of suspected Ebola cases,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015July,1
Cumulative number of confirmed Ebola cases,Spain,2015July,1
Cumulative number of probable Ebola cases,Spain,2015July,0
Cumulative number of suspected Ebola cases,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015July,1
Cumulative number of confirmed Ebola cases,United States of America,2015July,4
Cumulative number of probable Ebola cases,United States of America,2015July,0
Cumulative number of suspected Ebola cases,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015July,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015July,7
Cumulative number of probable Ebola deaths,Nigeria,2015July,1
Cumulative number of suspected Ebola deaths,Nigeria,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015July,8
Cumulative number of confirmed Ebola deaths,Senegal,2015July,0
Cumulative number of probable Ebola deaths,Senegal,2015July,0
Cumulative number of suspected Ebola deaths,Senegal,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015July,0
Cumulative number of confirmed Ebola deaths,Spain,2015July,0
Cumulative number of probable Ebola deaths,Spain,2015July,0
Cumulative number of suspected Ebola deaths,Spain,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015July,0
Cumulative number of confirmed Ebola deaths,United States of America,2015July,1
Cumulative number of probable Ebola deaths,United States of America,2015July,0
Cumulative number of suspected Ebola deaths,United States of America,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015July,3760
Cumulative number of confirmed Ebola cases,Guinea,2015July,3300
Cumulative number of probable Ebola cases,Guinea,2015July,450
Cumulative number of suspected Ebola cases,Guinea,2015July,10
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015July,2506
Cumulative number of confirmed Ebola deaths,Guinea,2015July,2056
Cumulative number of probable Ebola deaths,Guinea,2015July,450
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015July,10666
Cumulative number of confirmed Ebola cases,Liberia,2015July,3151
Cumulative number of probable Ebola cases,Liberia,2015July,1879
Cumulative number of suspected Ebola cases,Liberia,2015July,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015July,4806
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015July,13209
Cumulative number of confirmed Ebola cases,Sierra Leone,2015July,8688
Cumulative number of probable Ebola cases,Sierra Leone,2015July,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015July,4234
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015July,3947
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015July,3581
Cumulative number of probable Ebola deaths,Sierra Leone,2015July,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015July,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,2015July,7
Cumulative number of confirmed Ebola cases,Liberia 2,2015July,6
Cumulative number of probable Ebola cases,Liberia 2,2015July,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,2015July,2
Cumulative number of confirmed Ebola deaths,Liberia 2,2015July,2
Cumulative number of confirmed Ebola cases,Italy,2015July,1
Cumulative number of probable Ebola cases,Italy,2015July,0
Cumulative number of suspected Ebola cases,Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015July,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015July,1
Cumulative number of probable Ebola cases,United Kingdom,2015July,0
Cumulative number of suspected Ebola cases,United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015July,1
Cumulative number of confirmed Ebola cases,Mali,2015July,7
Cumulative number of probable Ebola cases,Mali,2015July,1
Cumulative number of suspected Ebola cases,Mali,2015July,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015July,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015July,8
Cumulative number of confirmed Ebola cases,Nigeria,2015July,19
Cumulative number of probable Ebola cases,Nigeria,2015July,1
Cumulative number of suspected Ebola cases,Nigeria,2015July,0
